Year,Portfolio,Geography,Category,Brand,Segment,Initial_Sales,New_Sales,Margin (%),Applied_Trend (%),Contribution (%),Min_Trend,Max_Trend,Min_Contribution,Max_Contribution
1,Hair/APDO,Asia,Tools,Balmain,Fragrance,2734489.0,3144662.4,50,15.00000182849519,15.799759610869984,0,15,4,30
1,Hair/APDO,South America,Face Make-Up,Balmain,Fragrance,1739911.0,2000897.7,33,15.000002873710194,10.19874579595609,0,15,4,30
1,Hair/APDO,Europe,Tools,Frederic Malle,Bronzer,3844769.0,3998559.8,59,4.00000104037459,46.99995769655671,-3,4,4,30
1,Skin/Body,North America,Make Up Brushes,Frederic Malle,Fragrance,1417040.0,1473721.6,41,4.0000000000000036,13.951869057744224,-3,4,5,40
1,Hair/APDO,South America,Hair Dye,Bobbi Brown,Bronzer,2000942.0,2060970.3,45,3.0000019990584548,17.367500493982316,-1,3,7,14
1,Fragrance + Color Cosmetics,Europe,Face Make-Up,Bobbi Brown,Bronzer,2928388.0,3016239.6,54,2.9999986340607965,30.38500199390773,-1,3,7,14
1,Hair/APDO,South America,Tools,Kilian,Mascara,3916664.0,0.0,33,-100.0,0.0,0,15,4,30
1,Fragrance + Color Cosmetics,Europe,Hair Dye,Kilian,Mascara,2325665.0,2674514.8,50,15.000002149922697,42.93052495041447,-5,15,5,40
1,Hair/APDO,Asia,Make Up Brushes,Aveda,Toner,2370928.0,2726567.2,43,15.000000000000014,40.6111205625606,0,15,4,30
1,Fragrance + Color Cosmetics,Asia,Make Up Brushes,Frederic Malle,Mascara,771836.0,802709.44,33,4.0000000000000036,10.309457664507695,-3,4,5,40
1,Hair/APDO,Europe,Hair Dye,Bobbi Brown,Mascara,1771741.0,1824893.2,39,2.99999830675024,23.617255159893812,-1,3,7,14
1,Fragrance + Color Cosmetics,South America,Make Up Brushes,Kilian,Fragrance,3204238.0,3684873.7,45,15.000000000000014,14.554311791360435,-5,15,5,40
1,Skin/Body,Asia,Hair Dye,Kilian,Bronzer,3113740.0,3580801.0,57,14.999999999999991,29.778616489423598,-5,15,5,40
1,Skin/Body,North America,Tools,Kilian,Lipstick,3765879.0,4330760.8,36,14.999998672288717,29.160372308632116,-5,15,5,40
1,Skin/Body,Asia,Face Make-Up,Balmain,Lipstick,2611138.0,3002808.7,37,15.000000000000014,45.552299859599565,-5,15,5,40
1,Hair/APDO,North America,Face Make-Up,Aveda,Mascara,3448089.0,3965302.4,36,15.000001450078582,17.11301648830998,0,15,4,30
1,Skin/Body,Asia,Fragrance,Bobbi Brown,Mascara,2370230.0,2441336.9,30,3.0000000000000027,19.490354376357484,-1,3,7,14
1,Fragrance + Color Cosmetics,Asia,Tools,Balmain,Bronzer,2621690.0,0.0,37,-100.0,0.0,-5,15,5,40
1,Hair/APDO,North America,Face Make-Up,Aveda,Toner,4908324.0,5644572.6,30,14.999999999999991,24.360226340685326,0,15,4,30
1,Fragrance + Color Cosmetics,South America,Face Make-Up,Kilian,Mascara,2516716.0,2894223.4,39,14.999999999999991,15.896066816941556,-5,15,5,40
1,Hair/APDO,South America,Fragrance,Bobbi Brown,Fragrance,3332868.0,3432854.0,33,2.9999987998324595,20.61797974628872,-1,3,7,14
1,Hair/APDO,South America,Tools,Balmain,Fragrance,3970495.0,4566069.3,33,15.000001259288819,48.0568627197457,0,15,4,30
1,Hair/APDO,South America,Face Make-Up,Elizabeth Arden,Bronzer,3557213.0,3806217.9,31,6.999999718881034,23.88553976160516,0,7,6,15
1,Skin/Body,North America,Make Up Brushes,Bobbi Brown,Bronzer,2623091.0,2701783.7,41,2.9999988563111257,80.4221108154851,-1,3,7,14
1,Fragrance + Color Cosmetics,Europe,Face Make-Up,Frederic Malle,Bronzer,2984413.0,0.0,54,-100.0,0.0,-3,4,5,40
1,Skin/Body,North America,Fragrance,Balmain,Lipstick,4822252.0,5545589.8,49,14.999999999999991,39.35074472641858,-5,15,5,40
1,Skin/Body,South America,Face Make-Up,Kilian,Fragrance,3612754.0,4154667.1,30,15.000000000000014,20.84944085875305,-5,15,5,40
1,Fragrance + Color Cosmetics,Asia,Face Make-Up,Elizabeth Arden,Lipstick,1996176.0,2135908.3,49,6.9999989980843225,50.34371193712913,0,7,6,15
1,Fragrance + Color Cosmetics,North America,Hair Dye,Bobbi Brown,Bronzer,4759622.0,4902410.7,59,3.0000008404028833,19.34103840421411,-1,3,7,14
1,Fragrance + Color Cosmetics,South America,Fragrance,Aveda,Lipstick,1313168.0,1510143.2,53,14.999999999999991,39.4501473963308,-5,15,5,40
1,Fragrance + Color Cosmetics,Europe,Make Up Brushes,Elizabeth Arden,Fragrance,4872093.0,5213139.5,30,6.999999794749412,27.97608917536973,0,7,6,15
1,Fragrance + Color Cosmetics,North America,Make Up Brushes,Frederic Malle,Bronzer,2706903.0,2815179.1,52,3.999999261148268,40.59608303437266,-3,4,5,40
1,Hair/APDO,North America,Tools,Bobbi Brown,Mascara,2161909.0,2226766.3,35,3.0000013876624765,38.78729211674678,-1,3,7,14
1,Hair/APDO,South America,Fragrance,Kilian,Bronzer,4673125.0,5374093.8,56,15.000001069947832,55.1913047791611,0,15,4,30
1,Skin/Body,South America,Make Up Brushes,Bobbi Brown,Toner,4635314.0,0.0,33,-100.0,0.0,-1,3,7,14
1,Fragrance + Color Cosmetics,South America,Face Make-Up,Bobbi Brown,Bronzer,571295.0,588433.85,38,3.0000000000000027,23.56225883634484,-1,3,7,14
1,Hair/APDO,Europe,Fragrance,Balmain,Bronzer,1325816.0,0.0,54,-100.0,0.0,0,15,4,30
1,Fragrance + Color Cosmetics,South America,Hair Dye,Balmain,Bronzer,4004473.0,4605144.0,45,15.000001248603745,57.44487497716623,-5,15,5,40
1,Skin/Body,Asia,Make Up Brushes,Kilian,Mascara,2972189.0,3418017.4,30,15.000001682261788,19.38558918594081,-5,15,5,40
1,Skin/Body,North America,Face Make-Up,Kilian,Lipstick,4614639.0,5306834.8,32,14.99999891649162,73.74464421013289,-5,15,5,40
1,Hair/APDO,Asia,Fragrance,Bobbi Brown,Toner,1291971.0,1330730.1,46,2.9999976779664594,9.570366569255672,-1,3,7,14
1,Fragrance + Color Cosmetics,Asia,Make Up Brushes,Elizabeth Arden,Toner,3421944.0,3661480.1,45,7.000000584463106,42.50821450314,0,7,6,15
1,Hair/APDO,North America,Tools,Frederic Malle,Mascara,2600021.0,2704021.8,31,3.99999846155088,25.270538229321826,-3,4,4,30
1,Hair/APDO,Asia,Tools,Kilian,Bronzer,2635619.0,0.0,30,-100.0,0.0,0,15,4,30
1,Skin/Body,Europe,Tools,Bobbi Brown,Toner,4801754.0,4945806.6,46,2.9999995834855353,27.435276979603362,-1,3,7,14
1,Hair/APDO,Europe,Tools,Balmain,Toner,2514484.0,2891656.6,56,15.000000000000014,54.072028755673564,0,15,4,30
1,Fragrance + Color Cosmetics,North America,Make Up Brushes,Kilian,Fragrance,4272962.0,4913906.3,57,14.999999999999991,31.11035627700332,-5,15,5,40
1,Skin/Body,Asia,Fragrance,Bobbi Brown,Bronzer,3951356.0,4069896.7,59,3.0000005061553647,32.49192233901347,-1,3,7,14
1,Fragrance + Color Cosmetics,North America,Face Make-Up,Bobbi Brown,Lipstick,3009079.0,3099351.4,34,3.000000996982788,24.84105749865255,-1,3,7,14
1,Skin/Body,North America,Tools,Balmain,Bronzer,4835868.0,5561248.2,30,15.000000000000014,44.519459619201974,-5,15,5,40
1,Skin/Body,Asia,Fragrance,Balmain,Mascara,1188105.0,1366320.7,54,14.99999579161775,20.903672751634687,-5,15,5,40
1,Hair/APDO,Europe,Hair Dye,Balmain,Mascara,1605534.0,1846364.1,44,15.000000000000014,12.991524125178444,0,15,4,30
1,Hair/APDO,Europe,Hair Dye,Frederic Malle,Lipstick,998863.0,1038817.5,37,3.9999979977234146,5.324988715601962,-3,4,4,30
1,Hair/APDO,North America,Hair Dye,Frederic Malle,Toner,1297079.0,0.0,47,-100.0,0.0,-3,4,4,30
1,Skin/Body,Asia,Hair Dye,Kilian,Bronzer,4428083.0,5092295.5,42,15.000001129156804,42.34848983378791,-5,15,5,40
1,Skin/Body,Asia,Make Up Brushes,Balmain,Bronzer,1496161.0,1720585.1,31,14.999996658113668,40.013761448474426,-5,15,5,40
1,Hair/APDO,South America,Face Make-Up,Kilian,Mascara,4979125.0,5725993.8,60,15.000001004192498,54.93708593501238,0,15,4,30
1,Fragrance + Color Cosmetics,Europe,Fragrance,Bobbi Brown,Mascara,2781230.0,2864666.9,35,3.0000000000000027,22.579101007502132,-1,3,7,14
1,Fragrance + Color Cosmetics,South America,Make Up Brushes,Aveda,Lipstick,2485588.0,2858426.2,37,15.000000000000014,31.304879206865348,-5,15,5,40
1,Skin/Body,South America,Make Up Brushes,Elizabeth Arden,Fragrance,1760386.0,1883613.0,49,6.999998863885537,12.17282408636028,0,7,6,15
1,Hair/APDO,Asia,Make Up Brushes,Aveda,Mascara,3467197.0,3987276.6,57,15.000001442087086,59.38887943743939,0,15,4,30
1,Hair/APDO,North America,Face Make-Up,Bobbi Brown,Mascara,4195961.0,4321839.8,52,2.999999285026722,17.409552321259312,-1,3,7,14
1,Skin/Body,Europe,Tools,Elizabeth Arden,Lipstick,3720468.0,3980900.8,41,7.000001075133544,20.89977742101145,0,7,6,15
1,Skin/Body,Europe,Hair Dye,Kilian,Mascara,1029525.0,1183953.8,59,15.00000485660864,17.916252746994832,-5,15,5,40
1,Skin/Body,Asia,Tools,Aveda,Lipstick,4199391.0,4829299.7,45,15.000001190648838,34.413565528654765,-5,15,5,40
1,Hair/APDO,North America,Tools,Balmain,Bronzer,2664367.0,3064022.1,55,15.000001876618363,53.610234847878026,0,15,4,30
1,Hair/APDO,North America,Fragrance,Aveda,Bronzer,2248014.0,2585216.1,34,15.000000000000014,37.80608357985056,0,15,4,30
1,Skin/Body,Europe,Make Up Brushes,Aveda,Bronzer,1264121.0,1453739.2,45,15.000003955317576,27.308415087461498,-5,15,5,40
1,Fragrance + Color Cosmetics,Asia,Tools,Bobbi Brown,Lipstick,1607677.0,1655907.3,59,2.999999377984519,17.09677194875538,-1,3,7,14
1,Skin/Body,South America,Hair Dye,Frederic Malle,Fragrance,2141249.0,2226899.0,33,4.000001868068592,32.86586663258812,-3,4,5,40
1,Hair/APDO,Europe,Hair Dye,Balmain,Mascara,1852695.0,2130599.3,30,15.000002698771242,14.991480936527255,0,15,4,30
1,Skin/Body,North America,Make Up Brushes,Frederic Malle,Lipstick,3837690.0,3991197.6,57,4.0000000000000036,37.78506489881332,-3,4,5,40
1,Fragrance + Color Cosmetics,South America,Make Up Brushes,Kilian,Lipstick,3484626.0,4007319.9,58,14.999999999999991,15.827892085507116,-5,15,5,40
1,Hair/APDO,North America,Make Up Brushes,Balmain,Lipstick,2555723.0,0.0,30,-100.0,0.0,0,15,4,30
1,Skin/Body,North America,Make Up Brushes,Elizabeth Arden,Mascara,3476242.0,3719578.9,58,6.999998849332112,40.38030100087436,0,7,6,15
1,Fragrance + Color Cosmetics,South America,Fragrance,Frederic Malle,Fragrance,3853597.0,4007740.9,55,4.000000518995628,38.3704055816848,-3,4,5,40
1,Fragrance + Color Cosmetics,South America,Fragrance,Bobbi Brown,Mascara,3422097.0,3524759.9,50,2.999999707781509,27.602315546755257,-1,3,7,14
1,Skin/Body,South America,Tools,Bobbi Brown,Lipstick,3865884.0,3981860.5,50,2.9999994826539034,57.41316687114973,-1,3,7,14
1,Skin/Body,Asia,Hair Dye,Aveda,Lipstick,1333727.0,1533786.1,53,15.000003748893143,18.244401182292638,-5,15,5,40
1,Hair/APDO,North America,Face Make-Up,Bobbi Brown,Mascara,4890886.0,5037612.6,46,3.000000408923853,20.292880854569198,-1,3,7,14
1,Hair/APDO,Europe,Tools,Bobbi Brown,Lipstick,4241196.0,4368431.9,52,3.0000004715651007,24.206639876496283,-1,3,7,14
1,Hair/APDO,North America,Face Make-Up,Kilian,Lipstick,2507635.0,2883780.3,46,15.000001993910583,39.584714008027575,0,15,4,30
1,Skin/Body,Europe,Tools,Balmain,Toner,3725187.0,4283965.0,46,14.999998657785497,33.333425537889774,-5,15,5,40
1,Skin/Body,North America,Face Make-Up,Bobbi Brown,Lipstick,4121581.0,0.0,36,-100.0,0.0,-1,3,7,14
1,Hair/APDO,Asia,Make Up Brushes,Balmain,Mascara,1539458.0,1770376.7,44,14.999999999999991,28.838560399343084,0,15,4,30
1,Skin/Body,Asia,Face Make-Up,Aveda,Bronzer,2919862.0,3357841.3,50,14.999999999999991,25.413982153243353,-5,15,5,40
1,Skin/Body,South America,Tools,Aveda,Mascara,4443334.0,5109834.1,55,14.999999999999991,30.854990501154873,-5,15,5,40
1,Fragrance + Color Cosmetics,South America,Hair Dye,Aveda,Toner,4768764.0,5484078.6,52,14.999999999999991,29.11886540763573,-5,15,5,40
1,Hair/APDO,South America,Hair Dye,Bobbi Brown,Lipstick,4908249.0,5055496.5,39,3.000000611215925,42.601942376887166,-1,3,7,14
1,Skin/Body,North America,Tools,Frederic Malle,Lipstick,1017313.0,1058005.5,47,3.9999980340367225,32.76231008758361,-3,4,5,40
1,Skin/Body,North America,Tools,Elizabeth Arden,Toner,1786643.0,1911708.0,37,6.999999440291083,58.34740228178683,0,7,6,15
1,Skin/Body,South America,Fragrance,Aveda,Bronzer,4942987.0,5684435.1,33,15.000001011534113,33.44847125472229,-5,15,5,40
1,Fragrance + Color Cosmetics,South America,Face Make-Up,Frederic Malle,Mascara,4185501.0,4352921.0,48,3.999999044319913,73.35706350170948,-3,4,5,40
1,Hair/APDO,North America,Tools,Frederic Malle,Bronzer,3676083.0,3823126.3,59,3.999999455942649,35.729171754338566,-3,4,4,30
1,Skin/Body,South America,Fragrance,Kilian,Toner,2887312.0,3320408.8,42,14.999999999999991,33.617375645932256,-5,15,5,40
1,Skin/Body,Asia,Fragrance,Elizabeth Arden,Fragrance,2371403.0,2537401.2,35,6.999999578308724,23.347518380986273,0,7,6,15
1,Skin/Body,Asia,Tools,Aveda,Fragrance,2034837.0,2340062.5,45,14.999997542800724,16.67527368096407,-5,15,5,40
1,Skin/Body,South America,Make Up Brushes,Aveda,Bronzer,923570.0,1062105.5,32,14.999999999999991,7.995133509908365,-5,15,5,40
1,Skin/Body,Europe,Fragrance,Kilian,Lipstick,1917077.0,2204638.5,50,14.999997391862706,13.847030780144395,-5,15,5,40
1,Hair/APDO,Asia,Fragrance,Balmain,Bronzer,2985195.0,3432974.3,39,15.00000167493245,67.30450365585979,0,15,4,30
1,Skin/Body,Asia,Hair Dye,Bobbi Brown,Bronzer,4275803.0,4404077.1,55,3.0000002338741893,32.342685813384584,-1,3,7,14
1,Fragrance + Color Cosmetics,Asia,Make Up Brushes,Aveda,Lipstick,997562.0,1147196.3,33,15.000000000000014,7.686634132328875,-5,15,5,40
1,Fragrance + Color Cosmetics,South America,Fragrance,Kilian,Lipstick,2679996.0,3081995.4,50,14.999999999999991,20.605409358591093,-5,15,5,40
1,Skin/Body,Europe,Face Make-Up,Aveda,Mascara,1075278.0,1236569.7,48,14.999999999999991,14.36199356834982,-5,15,5,40
1,Skin/Body,Europe,Hair Dye,Elizabeth Arden,Mascara,1774732.0,1898963.2,56,6.999997746138575,16.558316587005145,0,7,6,15
1,Skin/Body,South America,Fragrance,Elizabeth Arden,Lipstick,4571647.0,4891662.3,47,7.000000218739544,26.740950012575453,0,7,6,15
1,Hair/APDO,North America,Face Make-Up,Aveda,Mascara,2266616.0,2606608.4,60,14.999999999999991,11.249314182889885,0,15,4,30
1,Fragrance + Color Cosmetics,South America,Face Make-Up,Kilian,Fragrance,3751298.0,4313992.7,30,15.000000000000014,23.693926393863762,-5,15,5,40
1,Hair/APDO,North America,Tools,Elizabeth Arden,Bronzer,2832517.0,3030793.2,46,7.00000035304289,23.693835643004622,0,7,6,15
1,Hair/APDO,North America,Tools,Aveda,Fragrance,663273.0,762763.95,39,14.999999999999991,5.178044754534467,0,15,4,30
1,Hair/APDO,North America,Tools,Elizabeth Arden,Lipstick,4477266.0,4790674.6,43,6.999999553298819,37.452062579365986,0,7,6,15
1,Skin/Body,North America,Make Up Brushes,Elizabeth Arden,Lipstick,4540479.0,4858312.5,46,6.999999339276752,52.74256209656164,0,7,6,15
1,Fragrance + Color Cosmetics,Asia,Hair Dye,Frederic Malle,Mascara,4082069.0,4245351.8,51,4.000000979895235,34.839806753820895,-3,4,5,40
1,Hair/APDO,South America,Hair Dye,Bobbi Brown,Lipstick,2179748.0,2245140.4,51,2.999998164925488,18.919475455837308,-1,3,7,14
1,Fragrance + Color Cosmetics,Europe,Face Make-Up,Kilian,Lipstick,3136694.0,3607198.1,45,15.000000000000014,38.67619584931677,-5,15,5,40
1,Hair/APDO,North America,Tools,Elizabeth Arden,Mascara,815826.0,872933.82,40,6.999999999999984,6.824335773981602,0,7,6,15
1,Hair/APDO,Europe,Make Up Brushes,Frederic Malle,Mascara,1050222.0,1092230.9,31,4.000001904359252,19.77112913576127,-3,4,4,30
1,Hair/APDO,South America,Hair Dye,Bobbi Brown,Lipstick,2432247.0,2505214.4,35,2.9999995888575492,21.111081673293207,-1,3,7,14
1,Hair/APDO,Asia,Hair Dye,Balmain,Lipstick,3030179.0,3484705.9,34,15.00000165006754,38.09923253961743,0,15,4,30
1,Fragrance + Color Cosmetics,Asia,Fragrance,Frederic Malle,Lipstick,1150199.0,1196207.0,57,4.000003477659075,8.841828834593242,-3,4,5,40
1,Skin/Body,Europe,Tools,Frederic Malle,Fragrance,3026954.0,3148032.2,59,4.000001321460456,56.99353488464721,-3,4,5,40
1,Hair/APDO,Asia,Face Make-Up,Balmain,Lipstick,3857519.0,4436146.8,52,14.999998703830109,55.96726341363549,0,15,4,30
1,Hair/APDO,South America,Make Up Brushes,Bobbi Brown,Lipstick,2450367.0,2523878.0,32,2.999999591897873,21.520430518093598,-1,3,7,14
1,Fragrance + Color Cosmetics,North America,Hair Dye,Balmain,Toner,4650276.0,5347817.4,50,15.000000000000014,39.43342352328714,-5,15,5,40
1,Fragrance + Color Cosmetics,Asia,Hair Dye,Aveda,Fragrance,2745131.0,3156900.7,35,15.000001821406705,42.896888222724385,-5,15,5,40
1,Fragrance + Color Cosmetics,Europe,Hair Dye,Kilian,Mascara,1572200.0,1808030.0,42,14.999999999999991,29.021965788373233,-5,15,5,40
1,Fragrance + Color Cosmetics,North America,Fragrance,Elizabeth Arden,Toner,1929551.0,2064619.6,60,7.000001554765856,25.73084964238621,0,7,6,15
1,Skin/Body,North America,Hair Dye,Bobbi Brown,Lipstick,1414032.0,1456453.0,37,3.0000028287902936,9.36936171699747,-1,3,7,14
1,Hair/APDO,North America,Make Up Brushes,Elizabeth Arden,Mascara,567661.0,607397.27,57,7.000000000000006,5.043466812565058,0,7,6,15
1,Fragrance + Color Cosmetics,North America,Hair Dye,Elizabeth Arden,Toner,1807506.0,1934031.4,53,6.999998893502979,39.64585307522293,0,7,6,15
1,Hair/APDO,South America,Face Make-Up,Bobbi Brown,Fragrance,1130265.0,0.0,47,-100.0,0.0,-1,3,7,14
1,Fragrance + Color Cosmetics,South America,Face Make-Up,Kilian,Fragrance,2819049.0,3241906.3,57,14.999998226352208,17.80566046113226,-5,15,5,40
1,Hair/APDO,North America,Fragrance,Elizabeth Arden,Mascara,3169355.0,3391209.9,59,7.00000157760805,39.27608544024637,0,7,6,15
