Portfolio,Geography,Category,Brand,Segment,Initial_Sales,Margin,Min_Trend,Max_Trend,Min_Contribution,Max_Contribution
Hair/APDO,Asia,Tools,Balmain,Fragrance,2734489,50,0,15,4,30
Hair/APDO,South America,Face Make-Up,Balmain,Fragrance,1739911,33,0,15,4,30
Hair/APDO,Europe,Tools,Frederic Malle,Bronzer,3844769,59,-3,4,4,30
Skin/Body,North America,Make Up Brushes,Frederic Malle,Fragrance,1417040,41,-3,4,5,40
Hair/APDO,South America,Hair Dye,Bobbi Brown,Bronzer,2000942,45,-1,3,7,14
Fragrance + Color Cosmetics,Europe,Face Make-Up,Bobbi Brown,Bronzer,2928388,54,-1,3,7,14
Hair/APDO,South America,Tools,Kilian,Mascara,3916664,33,0,15,4,30
Fragrance + Color Cosmetics,Europe,Hair Dye,Kilian,Mascara,2325665,50,-5,15,5,40
Hair/APDO,Asia,Make Up Brushes,Aveda,Toner,2370928,43,0,15,4,30
Fragrance + Color Cosmetics,Asia,Make Up Brushes,Frederic Malle,Mascara,771836,33,-3,4,5,40
Hair/APDO,Europe,Hair Dye,Bobbi Brown,Mascara,1771741,39,-1,3,7,14
Fragrance + Color Cosmetics,South America,Make Up Brushes,Kilian,Fragrance,3204238,45,-5,15,5,40
Skin/Body,Asia,Hair Dye,Kilian,Bronzer,3113740,57,-5,15,5,40
Skin/Body,North America,Tools,Kilian,Lipstick,3765879,36,-5,15,5,40
Skin/Body,Asia,Face Make-Up,Balmain,Lipstick,2611138,37,-5,15,5,40
Hair/APDO,North America,Face Make-Up,Aveda,Mascara,3448089,36,0,15,4,30
Skin/Body,Asia,Fragrance,Bobbi Brown,Mascara,2370230,30,-1,3,7,14
Fragrance + Color Cosmetics,Asia,Tools,Balmain,Bronzer,2621690,37,-5,15,5,40
Hair/APDO,North America,Face Make-Up,Aveda,Toner,4908324,30,0,15,4,30
Fragrance + Color Cosmetics,South America,Face Make-Up,Kilian,Mascara,2516716,39,-5,15,5,40
Hair/APDO,South America,Fragrance,Bobbi Brown,Fragrance,3332868,33,-1,3,7,14
Hair/APDO,South America,Tools,Balmain,Fragrance,3970495,33,0,15,4,30
Hair/APDO,South America,Face Make-Up,Elizabeth Arden,Bronzer,3557213,31,0,7,6,15
Skin/Body,North America,Make Up Brushes,Bobbi Brown,Bronzer,2623091,41,-1,3,7,14
Fragrance + Color Cosmetics,Europe,Face Make-Up,Frederic Malle,Bronzer,2984413,54,-3,4,5,40
Skin/Body,North America,Fragrance,Balmain,Lipstick,4822252,49,-5,15,5,40
Skin/Body,South America,Face Make-Up,Kilian,Fragrance,3612754,30,-5,15,5,40
Fragrance + Color Cosmetics,Asia,Face Make-Up,Elizabeth Arden,Lipstick,1996176,49,0,7,6,15
Fragrance + Color Cosmetics,North America,Hair Dye,Bobbi Brown,Bronzer,4759622,59,-1,3,7,14
Fragrance + Color Cosmetics,South America,Fragrance,Aveda,Lipstick,1313168,53,-5,15,5,40
Fragrance + Color Cosmetics,Europe,Make Up Brushes,Elizabeth Arden,Fragrance,4872093,30,0,7,6,15
Fragrance + Color Cosmetics,North America,Make Up Brushes,Frederic Malle,Bronzer,2706903,52,-3,4,5,40
Hair/APDO,North America,Tools,Bobbi Brown,Mascara,2161909,35,-1,3,7,14
Hair/APDO,South America,Fragrance,Kilian,Bronzer,4673125,56,0,15,4,30
Skin/Body,South America,Make Up Brushes,Bobbi Brown,Toner,4635314,33,-1,3,7,14
Fragrance + Color Cosmetics,South America,Face Make-Up,Bobbi Brown,Bronzer,571295,38,-1,3,7,14
Hair/APDO,Europe,Fragrance,Balmain,Bronzer,1325816,54,0,15,4,30
Fragrance + Color Cosmetics,South America,Hair Dye,Balmain,Bronzer,4004473,45,-5,15,5,40
Skin/Body,Asia,Make Up Brushes,Kilian,Mascara,2972189,30,-5,15,5,40
Skin/Body,North America,Face Make-Up,Kilian,Lipstick,4614639,32,-5,15,5,40
Hair/APDO,Asia,Fragrance,Bobbi Brown,Toner,1291971,46,-1,3,7,14
Fragrance + Color Cosmetics,Asia,Make Up Brushes,Elizabeth Arden,Toner,3421944,45,0,7,6,15
Hair/APDO,North America,Tools,Frederic Malle,Mascara,2600021,31,-3,4,4,30
Hair/APDO,Asia,Tools,Kilian,Bronzer,2635619,30,0,15,4,30
Skin/Body,Europe,Tools,Bobbi Brown,Toner,4801754,46,-1,3,7,14
Hair/APDO,Europe,Tools,Balmain,Toner,2514484,56,0,15,4,30
Fragrance + Color Cosmetics,North America,Make Up Brushes,Kilian,Fragrance,4272962,57,-5,15,5,40
