Portfolio,Geography,Category,Brand,Segment,Initial_Sales,New_Sales,Margin (%),Margin ($),Applied_Trend (%),Contribution (%),Min_Trend,Max_Trend,Min_Contribution,Max_Contribution
Hair/APDO,Asia,Tools,Balmain,Fragrance,2734489,3144662.4,50,1572331.2,15.00000182849519,14.413267555148801,0,15,4,30
Hair/APDO,South America,Face Make-Up,Balmain,Fragrance,1739911,2000897.7,33,660296.241,15.000002873710194,8.924741700153517,0,15,4,30
Hair/APDO,Europe,Tools,Frederic Malle,Bronzer,3844769,1932438.0,59,1140138.42,-49.73851484965677,30.000000465732928,-3,4,4,30
Skin/Body,North America,Make Up Brushes,Frederic Malle,Fragrance,1417040,1473721.6,41,604225.856,4.0000000000000036,13.4551638549618,-3,4,5,40
Hair/APDO,South America,Hair Dye,Bobbi Brown,Bronzer,2000942,2060970.3,45,927436.635,3.0000019990584548,18.421255292299126,-1,3,7,14
Fragrance + Color Cosmetics,Europe,Face Make-Up,Bobbi Brown,Bronzer,2928388,3016239.6,54,1628769.384,2.9999986340607965,30.409883491710097,-1,3,7,14
Hair/APDO,South America,Tools,Kilian,Mascara,3916664,0.0,33,0.0,-100.0,0.0,0,15,4,30
Fragrance + Color Cosmetics,Europe,Hair Dye,Kilian,Mascara,2325665,2370235.1,50,1185117.55,1.9164454037877476,40.0,-5,15,5,40
Hair/APDO,Asia,Make Up Brushes,Aveda,Toner,2370928,2726567.2,43,1172423.896,15.000000000000014,70.0,0,15,4,30
Fragrance + Color Cosmetics,Asia,Make Up Brushes,Frederic Malle,Mascara,771836,802709.44,33,264894.1152,4.0000000000000036,9.134364597606487,-3,4,5,40
Hair/APDO,Europe,Hair Dye,Bobbi Brown,Mascara,1771741,1824893.2,39,711708.348,2.99999830675024,23.97402559076034,-1,3,7,14
Fragrance + Color Cosmetics,South America,Make Up Brushes,Kilian,Fragrance,3204238,3684873.7,45,1658193.165,15.000000000000014,14.554311791360435,-5,15,5,40
Skin/Body,Asia,Hair Dye,Kilian,Bronzer,3113740,3580801.0,57,2041056.5699999998,14.999999999999991,24.771782545649714,-5,15,5,40
Skin/Body,North America,Tools,Kilian,Lipstick,3765879,4330760.8,36,1559073.8879999998,14.999998672288717,25.337367308686037,-5,15,5,40
Skin/Body,Asia,Face Make-Up,Balmain,Lipstick,2611138,2392795.8,37,885334.4459999999,-8.361955591776471,40.0,-5,15,5,40
Hair/APDO,North America,Face Make-Up,Aveda,Mascara,3448089,3965302.4,36,1427508.8639999998,15.000001450078582,17.67461333346741,0,15,4,30
Skin/Body,Asia,Fragrance,Bobbi Brown,Mascara,2370230,2441336.9,30,732401.07,3.0000000000000027,24.829183838324088,-1,3,7,14
Fragrance + Color Cosmetics,Asia,Tools,Balmain,Bronzer,2621690,0.0,37,0.0,-100.0,0.0,-5,15,5,40
Hair/APDO,North America,Face Make-Up,Aveda,Toner,4908324,4908324.0,30,1472497.2,0.0,21.87796038339424,0,15,4,30
Fragrance + Color Cosmetics,South America,Face Make-Up,Kilian,Mascara,2516716,2894223.4,39,1128747.126,14.999999999999991,35.71014229677063,-5,15,5,40
Hair/APDO,South America,Fragrance,Bobbi Brown,Fragrance,3332868,3432854.0,33,1132841.82,2.9999987998324595,19.627313325620054,-1,3,7,14
Hair/APDO,South America,Tools,Balmain,Fragrance,3970495,4566069.3,33,1506802.869,15.000001259288819,42.31586957674027,0,15,4,30
Hair/APDO,South America,Face Make-Up,Elizabeth Arden,Bronzer,3557213,3806217.9,31,1179927.5489999999,6.999999718881034,23.88553976160516,0,7,6,15
Skin/Body,North America,Make Up Brushes,Bobbi Brown,Bronzer,2623091,2701783.7,41,1107731.317,2.9999988563111257,85.9999998217474,-1,3,7,14
Fragrance + Color Cosmetics,Europe,Face Make-Up,Frederic Malle,Bronzer,2984413,0.0,54,0.0,-100.0,0.0,-3,4,5,40
Skin/Body,North America,Fragrance,Balmain,Lipstick,4822252,5545589.8,49,2717339.002,14.999999999999991,39.35074472641858,-5,15,5,40
Skin/Body,South America,Face Make-Up,Kilian,Fragrance,3612754,4154667.1,30,1246400.13,15.000000000000014,16.58513842466851,-5,15,5,40
Fragrance + Color Cosmetics,Asia,Face Make-Up,Elizabeth Arden,Lipstick,1996176,371778.23,49,182171.3327,-81.37547841472896,15.000000020173317,0,7,6,15
Fragrance + Color Cosmetics,North America,Hair Dye,Bobbi Brown,Bronzer,4759622,3328220.7,59,1963650.213,-30.07384409938436,14.000000058890324,-1,3,7,14
Fragrance + Color Cosmetics,South America,Fragrance,Aveda,Lipstick,1313168,1510143.2,53,800375.8960000001,14.999999999999991,60.000000794626644,-5,15,5,40
Fragrance + Color Cosmetics,Europe,Make Up Brushes,Elizabeth Arden,Fragrance,4872093,5213139.5,30,1563941.8499999999,6.999999794749412,24.951579651426137,0,7,6,15
Fragrance + Color Cosmetics,North America,Make Up Brushes,Frederic Malle,Bronzer,2706903,2746285.7,52,1428068.5640000002,1.4548988271836816,39.99999970869746,-3,4,5,40
Hair/APDO,North America,Tools,Bobbi Brown,Mascara,2161909,2226766.3,35,779368.2049999998,3.0000013876624765,43.588356830298565,-1,3,7,14
Hair/APDO,South America,Fragrance,Kilian,Bronzer,4673125,1869907.4,56,1047148.1440000001,-59.98593232579912,30.000000320871507,0,15,4,30
Skin/Body,South America,Make Up Brushes,Bobbi Brown,Toner,4635314,0.0,33,0.0,-100.0,0.0,-1,3,7,14
Fragrance + Color Cosmetics,South America,Face Make-Up,Bobbi Brown,Bronzer,571295,310755.02,38,118086.9076,-45.605156705379876,13.99999996395875,-1,3,7,14
Hair/APDO,Europe,Fragrance,Balmain,Bronzer,1325816,0.0,54,0.0,-100.0,0.0,0,15,4,30
Fragrance + Color Cosmetics,South America,Hair Dye,Balmain,Bronzer,4004473,4605143.9,45,2072314.7550000001,14.999998751396259,59.999999478843655,-5,15,5,40
Skin/Body,Asia,Make Up Brushes,Kilian,Mascara,2972189,3418017.4,30,1025405.22,15.000001682261788,14.24625493268335,-5,15,5,40
Skin/Body,North America,Face Make-Up,Kilian,Lipstick,4614639,5306834.8,32,1698187.136,14.99999891649162,59.99999977387651,-5,15,5,40
Hair/APDO,Asia,Fragrance,Bobbi Brown,Toner,1291971,1330730.1,46,612135.846,2.9999976779664594,11.166351053275156,-1,3,7,14
Fragrance + Color Cosmetics,Asia,Make Up Brushes,Elizabeth Arden,Toner,3421944,3661480.1,45,1647666.0450000002,7.000000584463106,39.34665668625568,0,7,6,15
Hair/APDO,North America,Tools,Frederic Malle,Mascara,2600021,2704021.8,31,838246.7579999999,3.99999846155088,27.523181411136456,-3,4,4,30
Hair/APDO,Asia,Tools,Kilian,Bronzer,2635619,0.0,30,0.0,-100.0,0.0,0,15,4,30
Skin/Body,Europe,Tools,Bobbi Brown,Toner,4801754,4945806.6,46,2275071.036,2.9999995834855353,27.11123826860687,-1,3,7,14
Hair/APDO,Europe,Tools,Balmain,Toner,2514484,2891656.6,56,1619327.6960000002,15.000000000000014,70.0,0,15,4,30
Fragrance + Color Cosmetics,North America,Make Up Brushes,Kilian,Fragrance,4272962,4913906.3,57,2800926.5909999995,14.999999999999991,31.11035627700332,-5,15,5,40
Skin/Body,Asia,Fragrance,Bobbi Brown,Bronzer,3951356,1376554.2,59,812166.9779999999,-65.16248599215054,14.000000284769031,-1,3,7,14
Fragrance + Color Cosmetics,North America,Face Make-Up,Bobbi Brown,Lipstick,3009079,3099351.4,34,1053779.476,3.000000996982788,33.31786129387214,-1,3,7,14
Skin/Body,North America,Tools,Balmain,Bronzer,4835868,5561248.2,30,1668374.46,15.000000000000014,32.63866436503044,-5,15,5,40
Skin/Body,Asia,Fragrance,Balmain,Mascara,1188105,3446633.6,54,1861182.144,190.09503368809993,40.00000046422109,-5,15,5,40
Hair/APDO,Europe,Hair Dye,Balmain,Mascara,1605534,1846364.1,44,812400.204,15.000000000000014,11.564113965181107,0,15,4,30
Hair/APDO,Europe,Hair Dye,Frederic Malle,Lipstick,998863,1038817.5,37,384362.475,3.9999979977234146,5.324988715601962,-3,4,4,30
Hair/APDO,North America,Hair Dye,Frederic Malle,Toner,1297079,0.0,47,0.0,-100.0,0.0,-3,4,4,30
Skin/Body,Asia,Hair Dye,Kilian,Bronzer,4428083,5092295.5,42,2138764.11,15.000001129156804,35.22821759270917,-5,15,5,40
Skin/Body,Asia,Make Up Brushes,Balmain,Bronzer,1496161,1720585.1,31,533381.381,14.999996658113668,59.99999860512569,-5,15,5,40
Hair/APDO,South America,Face Make-Up,Kilian,Mascara,4979125,2012925.7,60,1207755.42,-59.57270203097934,30.000000596147203,0,15,4,30
Fragrance + Color Cosmetics,Europe,Fragrance,Bobbi Brown,Mascara,2781230,2864666.9,35,1002633.4149999999,3.0000000000000027,20.52454827350684,-1,3,7,14
Fragrance + Color Cosmetics,South America,Make Up Brushes,Aveda,Lipstick,2485588,2858426.2,37,1057617.6940000001,15.000000000000014,28.89716834103215,-5,15,5,40
Skin/Body,South America,Make Up Brushes,Elizabeth Arden,Fragrance,1760386,1883613.0,49,922970.37,6.999998863885537,12.971503870010725,0,7,6,15
Hair/APDO,Asia,Make Up Brushes,Aveda,Mascara,3467197,1168528.8,57,666061.416,-66.2975942814902,30.0,0,15,4,30
Hair/APDO,North America,Face Make-Up,Bobbi Brown,Mascara,4195961,4321839.8,52,2247356.696,2.999999285026722,18.1311976871487,-1,3,7,14
Skin/Body,Europe,Tools,Elizabeth Arden,Lipstick,3720468,3980900.8,41,1632169.3279999997,7.000001075133544,24.47684286628771,0,7,6,15
Skin/Body,Europe,Hair Dye,Kilian,Mascara,1029525,3616208.7,59,2133563.133,251.25020762001898,39.999999778773834,-5,15,5,40
