Portfolio,Geography,Category,Brand,Segment,Initial_Sales,New_Sales,Margin (%),Margin ($),Applied_Trend (%),Contribution (%),Min_Trend,Max_Trend,Min_Contribution,Max_Contribution
Hair/APDO,Asia,Tools,Balmain,Fragrance,2734489,3144662.4,50,1572331.2,15.00000182849519,15.799759610869984,0,15,4,30
Hair/APDO,South America,Face Make-Up,Balmain,Fragrance,1739911,2000897.7,33,660296.241,15.000002873710194,10.19874579595609,0,15,4,30
Hair/APDO,Europe,Tools,Frederic Malle,Bronzer,3844769,3998559.8,59,2359150.2819999997,4.00000104037459,46.99995769655671,-3,4,4,30
Skin/Body,North America,Make Up Brushes,Frederic Malle,Fragrance,1417040,1473721.6,41,604225.856,4.0000000000000036,13.951869057744224,-3,4,5,40
Hair/APDO,South America,Hair Dye,Bobbi Brown,Bronzer,2000942,2060970.3,45,927436.635,3.0000019990584548,17.367500493982316,-1,3,7,14
Fragrance + Color Cosmetics,Europe,Face Make-Up,Bobbi Brown,Bronzer,2928388,3016239.6,54,1628769.384,2.9999986340607965,30.38500199390773,-1,3,7,14
Hair/APDO,South America,Tools,Kilian,Mascara,3916664,0.0,33,0.0,-100.0,0.0,0,15,4,30
Fragrance + Color Cosmetics,Europe,Hair Dye,Kilian,Mascara,2325665,2674514.8,50,1337257.4,15.000002149922697,42.93052495041447,-5,15,5,40
Hair/APDO,Asia,Make Up Brushes,Aveda,Toner,2370928,2726567.2,43,1172423.896,15.000000000000014,40.6111205625606,0,15,4,30
Fragrance + Color Cosmetics,Asia,Make Up Brushes,Frederic Malle,Mascara,771836,802709.44,33,264894.1152,4.0000000000000036,10.309457664507695,-3,4,5,40
Hair/APDO,Europe,Hair Dye,Bobbi Brown,Mascara,1771741,1824893.2,39,711708.348,2.99999830675024,23.617255159893812,-1,3,7,14
Fragrance + Color Cosmetics,South America,Make Up Brushes,Kilian,Fragrance,3204238,3684873.7,45,1658193.165,15.000000000000014,14.554311791360435,-5,15,5,40
Skin/Body,Asia,Hair Dye,Kilian,Bronzer,3113740,3580801.0,57,2041056.5699999998,14.999999999999991,29.778616489423598,-5,15,5,40
Skin/Body,North America,Tools,Kilian,Lipstick,3765879,4330760.8,36,1559073.8879999998,14.999998672288717,29.160372308632116,-5,15,5,40
Skin/Body,Asia,Face Make-Up,Balmain,Lipstick,2611138,3002808.7,37,1111039.219,15.000000000000014,45.552299859599565,-5,15,5,40
Hair/APDO,North America,Face Make-Up,Aveda,Mascara,3448089,3965302.4,36,1427508.8639999998,15.000001450078582,17.11301648830998,0,15,4,30
Skin/Body,Asia,Fragrance,Bobbi Brown,Mascara,2370230,2441336.9,30,732401.07,3.0000000000000027,19.490354376357484,-1,3,7,14
Fragrance + Color Cosmetics,Asia,Tools,Balmain,Bronzer,2621690,0.0,37,0.0,-100.0,0.0,-5,15,5,40
Hair/APDO,North America,Face Make-Up,Aveda,Toner,4908324,5644572.6,30,1693371.7799999998,14.999999999999991,24.360226340685326,0,15,4,30
Fragrance + Color Cosmetics,South America,Face Make-Up,Kilian,Mascara,2516716,2894223.4,39,1128747.126,14.999999999999991,15.896066816941556,-5,15,5,40
Hair/APDO,South America,Fragrance,Bobbi Brown,Fragrance,3332868,3432854.0,33,1132841.82,2.9999987998324595,20.61797974628872,-1,3,7,14
Hair/APDO,South America,Tools,Balmain,Fragrance,3970495,4566069.3,33,1506802.869,15.000001259288819,48.0568627197457,0,15,4,30
Hair/APDO,South America,Face Make-Up,Elizabeth Arden,Bronzer,3557213,3806217.9,31,1179927.5489999999,6.999999718881034,23.88553976160516,0,7,6,15
Skin/Body,North America,Make Up Brushes,Bobbi Brown,Bronzer,2623091,2701783.7,41,1107731.317,2.9999988563111257,80.4221108154851,-1,3,7,14
Fragrance + Color Cosmetics,Europe,Face Make-Up,Frederic Malle,Bronzer,2984413,0.0,54,0.0,-100.0,0.0,-3,4,5,40
Skin/Body,North America,Fragrance,Balmain,Lipstick,4822252,5545589.8,49,2717339.002,14.999999999999991,39.35074472641858,-5,15,5,40
Skin/Body,South America,Face Make-Up,Kilian,Fragrance,3612754,4154667.1,30,1246400.13,15.000000000000014,20.84944085875305,-5,15,5,40
Fragrance + Color Cosmetics,Asia,Face Make-Up,Elizabeth Arden,Lipstick,1996176,2135908.3,49,1046595.0669999999,6.9999989980843225,50.34371193712913,0,7,6,15
Fragrance + Color Cosmetics,North America,Hair Dye,Bobbi Brown,Bronzer,4759622,4902410.7,59,2892422.313,3.0000008404028833,19.34103840421411,-1,3,7,14
Fragrance + Color Cosmetics,South America,Fragrance,Aveda,Lipstick,1313168,1510143.2,53,800375.8960000001,14.999999999999991,39.4501473963308,-5,15,5,40
Fragrance + Color Cosmetics,Europe,Make Up Brushes,Elizabeth Arden,Fragrance,4872093,5213139.5,30,1563941.8499999999,6.999999794749412,27.97608917536973,0,7,6,15
Fragrance + Color Cosmetics,North America,Make Up Brushes,Frederic Malle,Bronzer,2706903,2815179.1,52,1463893.132,3.999999261148268,40.59608303437266,-3,4,5,40
